TIME,Pass_ID,BallPossession,BallStatus,Possession L/R,Time since ball possession change,Time to next ball possession change,Next ball possession/status,Previous ball possession/status,Pressure on the ball (d1=9.0; d2=3.0; p=1.75),Pressure on the offense team (d1=9.0; d2=3.0; p=1.75),Ball distance to the most pressing defense player (d1=9.0; d2=3.0; p=1.75),Ball direction to the most pressing defense player (d1=9.0; d2=3.0; p=1.75),Ball pressure of the most pressing defense player (d1=9.0; d2=3.0; p=1.75),Relative X of the most pressing defense player (d1=9.0; d2=3.0; p=1.75),Relative Y of the most pressing defense player (d1=9.0; d2=3.0; p=1.75),Threat to the defense goal from the offense team (maxD=35.0; r=1.5),Potential threat to the offense goal from the defense team (maxD=35.0; r=1.5),Ball distance to the defense goal,Ball distance to the offense goal,left-right (L),left-right (R),back-front (L),back-front (R),y,change,time,time_past
1900-01-01 20:47:05.640,3,1.0,1.0,L,4040.0,55520.0,1.0,0.0,5.03,83.45300000000000,7.32,8.0,5.03,7.25,0.96,0.0,0.0,60.6,44.4,-8.58,7.25,-2.4,19.98,25,0,0 days 00:00:00,0.0
1900-01-01 20:47:07.440,4,1.0,1.0,L,5840.0,53720.0,1.0,0.0,0.0,150.275,,,,,,0.0,0.0,60.91,44.09,-0.22,-1.02,-5.27,19.7,25,0,0 days 00:00:01.800000,1.8
1900-01-01 20:47:13.960,5,1.0,1.0,L,12360.0,47200.0,1.0,0.0,31.01,205.468,4.39,1.0,31.01,4.39,0.09,0.0,0.0,51.93,53.07,9.67,-6.53,-6.59,14.98,25,0,0 days 00:00:08.320000,8.32
1900-01-01 20:47:18.920,6,1.0,1.0,L,17320.0,42240.0,1.0,0.0,8.53,151.564,6.78,4.0,8.53,6.77,0.44,0.0,0.0,57.34,47.66,-5.18,4.61,-14.77,21.05,25,0,0 days 00:00:13.280000,13.28
1900-01-01 20:47:22.000,7,1.0,1.0,L,20400.0,39160.0,1.0,0.0,0.0,216.036,,,,,,0.0,0.0,53.78,51.22,10.75,-7.19,-11.76,18.14,25,0,0 days 00:00:16.360000,16.36
1900-01-01 20:47:22.880,8,1.0,1.0,L,21280.0,38280.0,1.0,0.0,60.98,242.274,3.55,23.0,38.35,3.27,1.38,0.0,0.0,47.74,57.26,6.41,-2.73,-6.06,12.48,25,0,0 days 00:00:17.240000,17.24
1900-01-01 20:47:24.000,9,1.0,1.0,L,22400.0,37160.0,1.0,0.0,15.61,282.067,5.94,7.0,14.83,5.91,0.67,0.0,0.0,54.14,50.86,8.94,-3.81,-12.73,18.54,25,0,0 days 00:00:18.360000,18.36
1900-01-01 20:47:28.280,10,1.0,1.0,L,26680.0,32880.0,1.0,0.0,19.28,174.058,5.46,6.0,19.28,5.43,0.56,5.546,0.0,47.66,57.34,-6.17,6.6,-8.48,13.67,25,0,0 days 00:00:22.640000,22.64
1900-01-01 20:47:32.200,11,1.0,1.0,L,30600.0,28960.0,1.0,0.0,27.33,220.825,5.34,6.0,20.43,5.31,0.57,0.0,0.0,40.97,64.03,6.25,-4.19,-3.9,9.7,25,0,0 days 00:00:26.560000,26.56
1900-01-01 20:47:35.600,12,1.0,1.0,L,34000.0,25560.0,1.0,0.0,77.82,320.527,2.84,3.0,51.51,2.83,0.14,16.887,0.0,27.94,77.06,21.54,-19.5,2.96,3.98,25,0,0 days 00:00:29.960000,29.96
1900-01-01 20:47:38.320,13,1.0,1.0,L,36720.0,22840.0,1.0,0.0,83.91,307.06,1.47,9.0,72.96,1.45,0.22,29.769,0.0,32.62,72.38,8.18,-7.12,-1.92,8.29,25,0,0 days 00:00:32.680000,32.68
1900-01-01 20:47:39.680,14,1.0,1.0,L,38080.0,21480.0,1.0,0.0,3.26,203.462,7.67,8.0,3.26,7.6,1.03,54.23,0.0,42.1,62.9,9.73,-8.95,-10.15,16.52,25,0,0 days 00:00:34.040000,34.04
1900-01-01 20:47:40.640,15,1.0,1.0,L,39040.0,20520.0,1.0,0.0,38.31,275.373,3.79,5.0,38.31,3.77,0.33,65.063,0.0,34.86,70.14,2.88,-2.54,-1.88,7.26,25,0,0 days 00:00:35,35.0
1900-01-01 20:47:43.200,16,1.0,1.0,L,41600.0,17960.0,1.0,0.0,0.07,183.428,8.68,13.0,0.07,8.47,1.91,21.887,0.0,37.58,67.42,14.8,-12.85,-4.57,9.92,25,0,0 days 00:00:37.560000,37.56
1900-01-01 20:47:45.680,17,1.0,1.0,L,44080.0,15480.0,1.0,0.0,54.74,223.373,2.62,1.0,54.74,2.62,0.04,72.098,0.0,22.55,82.45,19.65,-18.36,5.98,2.47,25,0,0 days 00:00:40.040000,40.04
